restaurant_id,restaurant_name,address,image_path_02
71,Cô Hai Quyên - Bánh Canh Chả Cá Phan Thiết & Hủ Tiếu Dai,"92 Đường Số 20, P. 5, Quận Gò Vấp, TP. HCM",images/banh_cuon_hai_nam__cao_thang_700.jpg
72,Bún Đậu Homemade - Quốc Hương,"14R Quốc Hương, P. Thảo Điền, Tp. Thủ Đức, TP. HCM",images/banh_ep_hue_o_lan_473.jpg
73,Mỳ Quảng Hương Quê - Mỳ Quảng - 25 Tạ Quang Bửu,"25 Tạ Quang Bửu, P. 3, Quận 8, TP. HCM",images/banh_flan_binh_thuan__vo_oanh_26.jpg
74,Phan Rang Quán - Đặc Sản Phan Rang,"2E Đường Số 10, P. Tân Quy, Quận 7, TP. HCM",images/banh_flan_binh_thuan__vo_oanh_36.jpg
75,Hồng Ký - Hủ Tíu Mì Hoành Thánh & Mì Vịt Tiềm,"362 Phạm Thế Hiển, P. 3, Quận 8, TP. HCM",images/banh_kem_huong_phat_222.jpg
76,Nhà Hàng Long Phụng - Suối Tiên,"120 Xa Lộ Hà Nội, P. Tân Phú, Quận 9, TP. HCM",images/banh_khot_ang_dung_389.jpg
77,Nhà Hàng Mix Cafe - Cơm Gà Nướng & Steak,"36 Đường Số 2, P. An Phú (Ngay Góc Thân Văn Nhiếp Và Đường Số 7), Tp. Thủ Đức, TP. HCM",images/banh_mi_109_572.jpg
78,Phúc Long Thắng Lợi,"Số 2 Trường Chinh, P. Tây Thạnh, Quận Tân Phú, TP. HCM",images/banh_mi_362__tran_cao_van_100.jpg
79,Bánh Mì Que - Phan Văn Trị,"80 Phan Văn Trị, P. 2, Quận 5, TP. HCM",images/banh_mi_362__tran_cao_van_95.jpg
80,Nhà Nấm - Nem Nướng Đà Lạt,"162 Thành Thái, P. 12, Quận 10, TP. HCM",images/banh_mi_ai_lam__co_giang_218.jpg
81,"3 Đậu - Tàu Hũ Cô Vang, Khoai Mì Cốt Dừa & Bắp Luộc - Phan Văn Trị","158 Phan Văn Trị, P. 12, Quận Bình Thạnh, TP. HCM",images/banh_mi_anh_phan__banh_mi_ga__thit_nguoi_408.jpg
